country,OECD,id,weight,sex,grade,computer,software,internet,addit_time_math,addit_time_science,parent_support,parent_status,want_best_grades,want_best_student,test_anxiety,enjoy_cooperation,sense_of_belonging,parent_support_emotional,HOMESCH,ENTUSE,ICTHOME,ICTSCH,wealth,parent_edu,learning_mins,escs_index,teacher_support_science,teacher_direct_science,inquiry_based_science,science_self_efficacy,math,reading,science,learning_hours,region
United States,Yes,84009741,548.5424,Female,10,Yes,Yes,Yes,2,2,Strongly agree,Agree,Agree,Agree,0.5209,0.9675,-0.376,0.5658,NA,NA,NA,NA,0.111,14,1350,-0.008,-0.2651,0.2564,0.3016,-0.3855,527.5867000000001,604.3659,612.7416000000001,22,N. America
United States,Yes,84010870,559.1816,Male,10,Yes,Yes,Yes,7,7,Strongly agree,Disagree,Strongly agree,Strongly agree,-0.6534,-1.4719,0.7333,0.3838,NA,NA,NA,NA,-0.816,14,1440,-0.3711,-1.0718,0.4505,-0.121,0.9523,482.281,508.5124,524.8393,24,N. America
United States,Yes,84008478,644.214,Male,10,Yes,Yes,Yes,9,9,Strongly agree,Agree,Strongly agree,Strongly agree,0.1935,1.4116,0.4597,1.0991,NA,NA,NA,NA,0.9154,16,2025,1.1332,0.5088,2.0781,0.2942,0.3155,537.682,531.5608,574.7181,34,N. America
United States,Yes,84010266,499.851,Male,10,Yes,Yes,Yes,8,8,Strongly agree,Agree,Agree,Strongly agree,-0.9024,-0.2882,0.3171,1.0991,NA,NA,NA,NA,1.6227,16,2000,1.7654,0.9209,0.4573,0.7399,1.5042,581.6229,602.5269,629.1803,33,N. America
United States,Yes,84004635,662.3813,Male,10,Yes,Yes,Yes,3,2,Strongly agree,Agree,Strongly agree,Agree,0.8459,0.0407,-0.5753,0.3838,NA,NA,NA,NA,1.4847,12,NA,0.8389,NA,-0.0057,NA,0.3155,428.1857,414.17719999999997,451.823,NA,N. America
United States,Yes,84010979,770.1005,Male,10,Yes,No,Yes,4,5,Agree,Agree,Strongly agree,Strongly agree,1.5125,-0.2882,0.2067,-1.5692,NA,NA,NA,NA,0.0173,9,1750,-1.1797,0.9209,0.1354,0.6801,0.6997,517.8214,560.9725,584.1611,29,N. America
United States,Yes,84001385,1118.951,Male,10,Yes,NA,Yes,NA,NA,Agree,Agree,Agree,Disagree,-1.3753,-0.8946,-0.3381,-1.3869,NA,NA,NA,NA,0.0018,14,NA,-0.1185,NA,NA,NA,NA,456.7311,468.5121,545.3333,NA,N. America
United States,Yes,84009659,991.905,Male,9,No,No,No,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,-2.505,2.2879,-3.1297,1.0991,NA,NA,NA,NA,-2.6019,12,300,-1.9594,1.4475,0.4505,3.1829,-3.7565,326.1375,317.28770000000003,344.93489999999997,5,N. America
United States,Yes,84008355,708.4036,Male,10,Yes,Yes,Yes,2,NA,Strongly agree,Strongly agree,Strongly agree,Agree,-1.1801,1.164,-0.0621,1.0991,NA,NA,NA,NA,1.2515,12,1600,0.3779,NA,NA,NA,0.9049,573.9366,566.0446999999999,593.7481,27,N. America
United States,Yes,84000597,624.2267,Female,11,Yes,Yes,Yes,3,NA,Strongly agree,Disagree,Agree,Agree,0.8425,-0.2882,0.0248,1.0991,NA,NA,NA,NA,0.2137,16,1625,0.7394,0.7896,0.4505,0.9452,3.2775,494.27070000000003,511.3304,507.2177,27,N. America
